x-axis,SCL1,3
second,Volt,Volt
+2.0432500E-03,+391.9598162E-03,+190.9547932E-03
+2.0435000E-03,+391.9598162E-03,+190.9547932E-03
+2.0437500E-03,+391.9598162E-03,+190.9547932E-03
+2.0440000E-03,+391.9598162E-03,+201.0050445E-03
+2.0442500E-03,+391.9598162E-03,+190.9547932E-03
+2.0445000E-03,+391.9598162E-03,+221.1055468E-03
+2.0447500E-03,+391.9598162E-03,+190.9547932E-03
+2.0450000E-03,+391.9598162E-03,+190.9547932E-03
+2.0452500E-03,+391.9598162E-03,+190.9547934E-03
+2.0455000E-03,+391.9598162E-03,+201.0050442E-03
+2.0457500E-03,+391.9598162E-03,+190.9547932E-03
+2.0460000E-03,+391.9598162E-03,+190.9547932E-03
+2.0462500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0465000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0467500E-03,+371.8593138E-03,+4.5728642941E+00
+2.0470000E-03,+391.9598162E-03,+4.5427135408E+00
+2.0472500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0475000E-03,+391.9598162E-03,+4.5427135405E+00
+2.0477500E-03,+391.9598162E-03,+4.5527637919E+00
+2.0480000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0482500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0485000E-03,+391.9598162E-03,+4.5628140431E+00
+2.0487500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0490000E-03,+361.8090629E-03,+4.5728642941E+00
+2.0492500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0495000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0497500E-03,+391.9598162E-03,+4.5527637916E+00
+2.0500000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0502500E-03,+391.9598162E-03,+4.5728642939E+00
+2.0505000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0507500E-03,+391.9598162E-03,+4.5527637919E+00
+2.0510000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0512500E-03,+391.9598162E-03,+190.9547932E-03
+2.0515000E-03,+391.9598162E-03,+201.0050442E-03
+2.0517500E-03,+391.9598162E-03,+211.0552954E-03
+2.0520000E-03,+391.9598162E-03,+231.1557978E-03
+2.0522500E-03,+391.9598160E-03,+190.9547932E-03
+2.0525000E-03,+361.8090626E-03,+190.9547932E-03
+2.0527500E-03,+371.8593141E-03,+231.1557978E-03
+2.0530000E-03,+381.9095649E-03,+190.9547932E-03
+2.0532500E-03,+391.9598162E-03,+190.9547932E-03
+2.0535000E-03,+361.8090626E-03,+190.9547932E-03
+2.0537500E-03,+371.8593137E-03,+190.9547932E-03
+2.0540000E-03,+381.9095649E-03,+221.1055465E-03
+2.0542500E-03,+351.7588118E-03,+190.9547932E-03
+2.0545000E-03,+351.7588116E-03,+201.0050442E-03
+2.0547500E-03,+391.9598162E-03,+190.9547932E-03
+2.0550000E-03,+391.9598162E-03,+190.9547932E-03
+2.0552500E-03,+391.9598162E-03,+190.9547932E-03
+2.0555000E-03,+381.9095653E-03,+221.1055469E-03
+2.0557500E-03,+391.9598162E-03,+190.9547932E-03
+2.0560000E-03,+402.0100676E-03,+190.9547932E-03
+2.0562500E-03,+351.7588118E-03,+4.5728642941E+00
+2.0565000E-03,+391.9598162E-03,+4.5628140431E+00
+2.0567500E-03,+391.9598162E-03,+4.5527637919E+00
+2.0570000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0572500E-03,+391.9598162E-03,+4.5326632895E+00
+2.0575000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0577500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0580000E-03,+391.9598162E-03,+4.5427135408E+00
+2.0582500E-03,+391.9598160E-03,+4.5728642941E+00
+2.0585000E-03,+361.8090626E-03,+4.5628140431E+00
+2.0587500E-03,+391.9598162E-03,+4.5527637919E+00
+2.0590000E-03,+391.9598162E-03,+4.5427135408E+00
+2.0592500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0595000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0597500E-03,+391.9598162E-03,+4.5527637916E+00
+2.0600000E-03,+391.9598162E-03,+4.5628140427E+00
+2.0602500E-03,+391.9598162E-03,+4.5728642939E+00
+2.0605000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0607500E-03,+391.9598162E-03,+4.5326632895E+00
+2.0610000E-03,+361.8090630E-03,+4.5628140427E+00
+2.0612500E-03,+351.7588118E-03,+190.9547932E-03
+2.0615000E-03,+391.9598162E-03,+190.9547932E-03
+2.0617500E-03,+391.9598162E-03,+211.0552953E-03
+2.0620000E-03,+391.9598162E-03,+190.9547932E-03
+2.0622500E-03,+391.9598162E-03,+231.1557976E-03
+2.0625000E-03,+391.9598162E-03,+201.0050442E-03
+2.0627500E-03,+391.9598162E-03,+190.9547932E-03
+2.0630000E-03,+391.9598162E-03,+190.9547932E-03
+2.0632500E-03,+391.9598162E-03,+190.9547932E-03
+2.0635000E-03,+391.9598162E-03,+221.1055469E-03
+2.0637500E-03,+371.8593141E-03,+190.9547932E-03
+2.0640000E-03,+381.9095649E-03,+231.1557978E-03
+2.0642500E-03,+391.9598162E-03,+231.1557978E-03
+2.0645000E-03,+391.9598162E-03,+190.9547932E-03
+2.0647500E-03,+371.8593137E-03,+211.0552953E-03
+2.0650000E-03,+381.9095649E-03,+190.9547932E-03
+2.0652500E-03,+391.9598162E-03,+190.9547932E-03
+2.0655000E-03,+391.9598162E-03,+190.9547932E-03
+2.0657500E-03,+391.9598162E-03,+190.9547932E-03
+2.0660000E-03,+391.9598162E-03,+221.1055465E-03
+2.0662500E-03,+391.9598162E-03,+4.5728642943E+00
+2.0665000E-03,+381.9095653E-03,+4.5728642941E+00
+2.0667500E-03,+351.7588116E-03,+4.5728642941E+00
+2.0670000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0672500E-03,+351.7588118E-03,+4.5326632895E+00
+2.0675000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0677500E-03,+391.9598162E-03,+4.5527637920E+00
+2.0680000E-03,+351.7588116E-03,+4.5628140427E+00
+2.0682500E-03,+391.9598162E-03,+4.5326632897E+00
+2.0685000E-03,+361.8090625E-03,+4.5326632895E+00
+2.0687500E-03,+371.8593142E-03,+4.5728642941E+00
+2.0690000E-03,+391.9598162E-03,+4.5326632895E+00
+2.0692500E-03,+351.7588119E-03,+4.5728642938E+00
+2.0695000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0697500E-03,+391.9598162E-03,+4.5527637920E+00
+2.0700000E-03,+391.9598162E-03,+4.5628140427E+00
+2.0702500E-03,+391.9598162E-03,+4.5326632897E+00
+2.0705000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0707500E-03,+371.8593142E-03,+4.5728642941E+00
+2.0710000E-03,+391.9598162E-03,+4.5427135408E+00
+2.0712500E-03,+391.9598162E-03,+190.9547932E-03
+2.0715000E-03,+391.9598162E-03,+190.9547932E-03
+2.0717500E-03,+391.9598162E-03,+211.0552953E-03
+2.0720000E-03,+391.9598162E-03,+231.1557978E-03
+2.0722500E-03,+391.9598162E-03,+231.1557978E-03
+2.0725000E-03,+391.9598162E-03,+221.1055469E-03
+2.0727500E-03,+391.9598162E-03,+190.9547932E-03
+2.0730000E-03,+391.9598162E-03,+190.9547932E-03
+2.0732500E-03,+391.9598162E-03,+190.9547935E-03
+2.0735000E-03,+391.9598162E-03,+190.9547932E-03
+2.0737500E-03,+371.8593142E-03,+211.0552958E-03
+2.0740000E-03,+391.9598162E-03,+190.9547932E-03
+2.0742500E-03,+351.7588119E-03,+190.9547932E-03
+2.0745000E-03,+391.9598162E-03,+190.9547932E-03
+2.0747500E-03,+371.8593137E-03,+190.9547932E-03
+2.0750000E-03,+381.9095648E-03,+231.1557978E-03
+2.0752500E-03,+391.9598162E-03,+190.9547932E-03
+2.0755000E-03,+391.9598162E-03,+221.1055469E-03
+2.0757500E-03,+391.9598162E-03,+211.0552953E-03
