x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+5.7764000E-06,+4.2914572618902E+00,+4.9748743399978E+00,+4.6155778614333E+00,+4.2135678154877E+00
+5.7768000E-06,+4.3291457036981E+00,+4.9748743399978E+00,+4.5376884150308E+00,+4.2110552527010E+00
+5.7772000E-06,+4.3693467082927E+00,+4.9748743399978E+00,+4.4949748476496E+00,+4.1733668108931E+00
+5.7776000E-06,+4.4095477128872E+00,+4.9371858981898E+00,+4.4170854012471E+00,+4.1331658062986E+00
+5.7780000E-06,+4.4497487174818E+00,+4.9346733354032E+00,+4.3366833920580E+00,+4.1306532435119E+00
+5.7784000E-06,+4.4899497220764E+00,+4.8969848935953E+00,+4.2562813828689E+00,+4.0929648017040E+00
+5.7788000E-06,+4.4924622848630E+00,+4.8944723308086E+00,+4.2135678154877E+00,+4.0527637971094E+00
+5.7792000E-06,+4.4924622848630E+00,+4.8944723308086E+00,+4.2110552527010E+00,+4.0502512343228E+00
+5.7796000E-06,+4.4924622848630E+00,+4.8567838890007E+00,+4.2110552527010E+00,+4.0125627925148E+00
+5.7800000E-06,+4.4924622848630E+00,+4.8542713262141E+00,+4.1733668108931E+00,+4.0100502297282E+00
+5.7804000E-06,+4.4547738430550E+00,+4.8542713262141E+00,+4.1331658062985E+00,+3.9723617879203E+00
+5.7808000E-06,+4.4145728384605E+00,+4.8165828844061E+00,+4.1306532435119E+00,+3.9698492251337E+00
+5.7812000E-06,+4.3743718338659E+00,+4.8140703216195E+00,+4.1306532435119E+00,+3.9698492251337E+00
+5.7816000E-06,+4.3718592710793E+00,+4.8140703216195E+00,+4.1306532435119E+00,+3.9698492251337E+00
+5.7820000E-06,+4.3341708292713E+00,+4.8517587634275E+00,+4.1306532435119E+00,+3.9698492251337E+00
+5.7824000E-06,+4.3316582664847E+00,+4.8165828844061E+00,+4.1683416853199E+00,+3.9321607833257E+00
+5.7828000E-06,+4.2939698246768E+00,+4.8140703216195E+00,+4.1708542481065E+00,+3.9296482205391E+00
+5.7832000E-06,+4.2537688200822E+00,+4.7763818798115E+00,+4.1708542481065E+00,+3.8919597787311E+00
+5.7836000E-06,+4.2135678154876E+00,+4.7738693170250E+00,+4.1708542481065E+00,+3.9271356577525E+00
+5.7840000E-06,+4.2110552527010E+00,+4.7361808752170E+00,+4.2085426899145E+00,+3.8919597787311E+00
+5.7844000E-06,+4.2110552527010E+00,+4.7336683124304E+00,+4.2487436945090E+00,+3.9271356577525E+00
+5.7848000E-06,+4.2110552527010E+00,+4.7336683124304E+00,+4.3266331409116E+00,+3.9296482205391E+00
+5.7852000E-06,+4.2110552527010E+00,+4.7336683124304E+00,+4.3693467082927E+00,+3.9296482205391E+00
+5.7856000E-06,+4.2110552527010E+00,+4.7336683124304E+00,+4.4095477128873E+00,+3.9296482205391E+00
+5.7860000E-06,+4.2110552527010E+00,+4.7713567542384E+00,+4.4497487174819E+00,+3.9673366623471E+00
+5.7864000E-06,+4.2110552527010E+00,+4.7738693170250E+00,+4.4899497220764E+00,+3.9698492251337E+00
+5.7868000E-06,+4.2487436945091E+00,+4.7738693170250E+00,+4.4924622848630E+00,+4.0075376669417E+00
+5.7872000E-06,+4.2512562572956E+00,+4.8115577588330E+00,+4.5301507266710E+00,+4.0477386715362E+00
+5.7876000E-06,+4.2512562572956E+00,+4.8517587634275E+00,+4.5703517312656E+00,+4.0879396761308E+00
+5.7880000E-06,+4.2512562572956E+00,+4.8919597680221E+00,+4.5728642940521E+00,+4.0904522389174E+00
+5.7884000E-06,+4.2889446991036E+00,+4.9321607726167E+00,+4.6105527358601E+00,+4.0904522389174E+00
+5.7888000E-06,+4.2914572618902E+00,+4.9346733354032E+00,+4.6130652986467E+00,+4.0904522389174E+00
+5.7892000E-06,+4.2914572618902E+00,+4.9346733354032E+00,+4.6507537404547E+00,+4.1281406807254E+00
+5.7896000E-06,+4.2914572618902E+00,+4.9346733354032E+00,+4.6532663032413E+00,+4.0929648017039E+00
+5.7900000E-06,+4.3291457036982E+00,+4.9346733354032E+00,+4.6532663032413E+00,+4.1281406807254E+00
+5.7904000E-06,+4.3316582664847E+00,+4.9346733354032E+00,+4.6155778614332E+00,+4.0929648017039E+00
+5.7908000E-06,+4.3316582664847E+00,+4.9346733354032E+00,+4.6130652986467E+00,+4.1281406807254E+00
+5.7912000E-06,+4.3693467082928E+00,+4.9346733354032E+00,+4.6130652986467E+00,+4.1306532435119E+00
+5.7916000E-06,+4.3718592710793E+00,+4.9346733354032E+00,+4.5753768568387E+00,+4.1306532435119E+00
+5.7920000E-06,+4.4095477128874E+00,+4.9346733354032E+00,+4.5728642940521E+00,+4.0929648017039E+00
+5.7924000E-06,+4.4120602756739E+00,+4.9346733354032E+00,+4.5351758522441E+00,+4.0904522389174E+00
+5.7928000E-06,+4.4120602756739E+00,+4.8969848935952E+00,+4.4949748476495E+00,+4.0904522389174E+00
+5.7932000E-06,+4.4120602756739E+00,+4.8944723308086E+00,+4.4170854012469E+00,+4.0904522389174E+00
+5.7936000E-06,+4.4497487174819E+00,+4.8567838890006E+00,+4.3743718338658E+00,+4.0904522389174E+00
+5.7940000E-06,+4.4522612802684E+00,+4.8542713262141E+00,+4.3718592710793E+00,+4.0904522389174E+00
+5.7944000E-06,+4.4522612802684E+00,+4.8542713262141E+00,+4.3341708292712E+00,+4.0527637971093E+00
+5.7948000E-06,+4.4145728384604E+00,+4.8542713262141E+00,+4.3316582664847E+00,+4.0502512343228E+00
+5.7952000E-06,+4.4120602756739E+00,+4.8165828844060E+00,+4.2939698246767E+00,+4.0502512343228E+00
+5.7956000E-06,+4.3743718338658E+00,+4.8140703216195E+00,+4.2914572618902E+00,+4.0502512343228E+00
+5.7960000E-06,+4.3341708292712E+00,+4.8140703216195E+00,+4.2914572618902E+00,+4.0125627925147E+00
+5.7964000E-06,+4.3316582664847E+00,+4.8140703216195E+00,+4.2537688200821E+00,+3.9723617879201E+00
+5.7968000E-06,+4.3316582664847E+00,+4.8140703216195E+00,+4.2135678154875E+00,+3.9321607833256E+00
+5.7972000E-06,+4.2939698246767E+00,+4.7763818798114E+00,+4.2110552527010E+00,+3.9296482205391E+00
+5.7976000E-06,+4.2537688200821E+00,+4.7738693170250E+00,+4.2487436945091E+00,+3.9296482205391E+00
+5.7980000E-06,+4.2135678154875E+00,+4.7738693170250E+00,+4.2512562572956E+00,+3.9296482205391E+00
+5.7984000E-06,+4.2110552527010E+00,+4.7738693170250E+00,+4.2889446991037E+00,+3.9296482205391E+00
+5.7988000E-06,+4.2110552527010E+00,+4.7738693170250E+00,+4.2914572618902E+00,+3.9296482205391E+00
+5.7992000E-06,+4.2110552527010E+00,+4.7361808752169E+00,+4.3291457036983E+00,+3.9296482205391E+00
+5.7996000E-06,+4.2110552527010E+00,+4.7336683124304E+00,+4.3316582664847E+00,+3.9296482205391E+00
+5.8000000E-06,+4.1733668108929E+00,+4.6959798706223E+00,+4.3316582664847E+00,+3.9673366623472E+00
+5.8004000E-06,+4.1708542481065E+00,+4.6934673078358E+00,+4.3693467082929E+00,+4.0075376669418E+00
+5.8008000E-06,+4.2085426899146E+00,+4.7311557496439E+00,+4.4095477128874E+00,+4.0100502297282E+00
+5.8012000E-06,+4.2110552527010E+00,+4.7336683124304E+00,+4.4497487174820E+00,+4.0100502297282E+00
+5.8016000E-06,+4.2487436945092E+00,+4.7713567542385E+00,+4.4522612802684E+00,+4.0100502297282E+00
+5.8020000E-06,+4.2512562572956E+00,+4.7738693170250E+00,+4.4899497220766E+00,+4.0100502297282E+00
+5.8024000E-06,+4.2512562572956E+00,+4.7738693170250E+00,+4.5301507266711E+00,+4.0100502297282E+00
+5.8028000E-06,+4.2135678154875E+00,+4.8115577588331E+00,+4.5326632894576E+00,+4.0100502297282E+00
+5.8032000E-06,+4.2110552527010E+00,+4.8140703216195E+00,+4.5326632894576E+00,+4.0100502297282E+00
+5.8036000E-06,+4.2487436945092E+00,+4.8517587634276E+00,+4.5326632894576E+00,+4.0100502297282E+00
+5.8040000E-06,+4.2512562572956E+00,+4.8542713262141E+00,+4.5703517312657E+00,+4.0100502297282E+00
+5.8044000E-06,+4.2512562572956E+00,+4.8542713262141E+00,+4.5728642940521E+00,+4.0100502297282E+00
+5.8048000E-06,+4.2512562572956E+00,+4.8542713262141E+00,+4.5728642940521E+00,+4.0100502297282E+00
+5.8052000E-06,+4.2889446991038E+00,+4.8542713262141E+00,+4.5351758522440E+00,+4.0100502297282E+00
+5.8056000E-06,+4.2914572618902E+00,+4.8542713262141E+00,+4.5326632894576E+00,+3.9723617879201E+00
+5.8060000E-06,+4.2914572618902E+00,+4.8165828844059E+00,+4.4949748476494E+00,+3.9698492251337E+00
+5.8064000E-06,+4.2914572618902E+00,+4.8140703216195E+00,+4.4924622848630E+00,+4.0075376669418E+00
+5.8068000E-06,+4.2914572618902E+00,+4.8517587634277E+00,+4.4924622848630E+00,+4.0100502297282E+00
+5.8072000E-06,+4.2914572618902E+00,+4.8542713262141E+00,+4.4547738430548E+00,+4.0477386715364E+00
+5.8076000E-06,+4.2914572618902E+00,+4.8542713262141E+00,+4.4522612802684E+00,+4.0502512343228E+00
+5.8080000E-06,+4.3291457036983E+00,+4.8165828844059E+00,+4.4145728384603E+00,+4.0502512343228E+00
+5.8084000E-06,+4.3316582664847E+00,+4.8140703216195E+00,+4.4120602756739E+00,+4.0879396761310E+00
+5.8088000E-06,+4.3316582664847E+00,+4.8140703216195E+00,+4.3743718338657E+00,+4.0527637971092E+00
+5.8092000E-06,+4.3316582664847E+00,+4.8140703216195E+00,+4.3341708292711E+00,+4.0502512343228E+00
+5.8096000E-06,+4.3316582664847E+00,+4.8140703216195E+00,+4.2939698246766E+00,+4.0502512343228E+00
+5.8100000E-06,+4.3316582664847E+00,+4.8140703216195E+00,+4.2914572618902E+00,+4.0502512343228E+00
+5.8104000E-06,+4.3316582664847E+00,+4.8140703216195E+00,+4.2914572618902E+00,+4.0502512343228E+00
+5.8108000E-06,+4.3316582664847E+00,+4.8517587634277E+00,+4.2914572618902E+00,+4.0125627925146E+00
+5.8112000E-06,+4.3316582664847E+00,+4.8542713262141E+00,+4.2914572618902E+00,+4.0100502297282E+00
+5.8116000E-06,+4.3316582664847E+00,+4.8165828844059E+00,+4.2914572618902E+00,+4.0100502297282E+00
+5.8120000E-06,+4.3316582664847E+00,+4.8140703216195E+00,+4.2537688200820E+00,+3.9723617879200E+00
