x-axis,1,2,3,4,MATH1
second,Volt,Volt,Volt,Volt,Volt
+128.074800E-06,+266.331676975E-03,+4.389447210647E+00,-281.407010602E-03,+919.723653281E-03,-653.808593680E-03
+128.076400E-06,+447.236197558E-03,+4.479899470939E+00,-20.100480830E-03,+997.613099648E-03,-551.269531239E-03
+128.078000E-06,+444.723634736E-03,+4.492462284863E+00,+140.703537548E-03,+1.065452294913E+00,-622.314453160E-03
+128.079600E-06,+376.884439471E-03,+4.547738666204E+00,+163.316602574E-03,+1.118216113432E+00,-742.065429723E-03
+128.081200E-06,+434.673383635E-03,+4.489949722040E+00,+206.030169991E-03,+1.047864355344E+00,-614.135742116E-03
+128.082800E-06,+500.000016077E-03,+4.396984898927E+00,+231.155797839E-03,+1.010175913572E+00,-510.864257800E-03
+128.084400E-06,+540.201020672E-03,+4.371859271079E+00,+203.517607168E-03,+1.037814104243E+00,-498.046875000E-03
+128.086000E-06,+497.487453254E-03,+4.427135652421E+00,+163.316602574E-03,+1.133291490180E+00,-636.352539124E-03
+128.087600E-06,+389.447253393E-03,+4.424623089597E+00,+95.477407308E-03,+1.170979931951E+00,-782.470703162E-03
+128.089200E-06,+296.482430281E-03,+4.412060275674E+00,-40.200983224E-03,+1.143341741279E+00,-848.510742200E-03
+128.090800E-06,+271.356802434E-03,+4.412060275674E+00,-118.090429589E-03,+1.103140736685E+00,-833.129882800E-03
+128.092400E-06,+243.718611762E-03,+4.439698466345E+00,-47.738671498E-03,+1.090577922761E+00,-848.510742200E-03
+128.094000E-06,+314.070369853E-03,+4.396984898926E+00,+45.226151615E-03,+1.090577922761E+00,-778.076171837E-03
+128.095600E-06,+379.397002294E-03,+4.344221080408E+00,+70.351779461E-03,+1.090577922761E+00,-712.036132800E-03
+128.097200E-06,+474.874388232E-03,+4.304020075813E+00,+70.351779461E-03,+1.118216113433E+00,-644.165039037E-03
+128.098800E-06,+512.562830001E-03,+4.236180880547E+00,+180.904542148E-03,+1.186055308699E+00,-674.194335963E-03
+128.100400E-06,+512.562830001E-03,+4.211055252701E+00,+231.155797839E-03,+1.211180936545E+00,-699.218750000E-03
