#timebase=80000000(ps)
,#voltbase=500000(uV)
#size=4064
3.00400E-04,3360.000
3.00800E-04,3360.000
3.01200E-04,3360.000
3.01600E-04,3380.000
3.02000E-04,3360.000
3.02400E-04,3400.000
3.02800E-04,3360.000
3.03200E-04,3360.000
3.03600E-04,3380.000
3.04000E-04,3360.000
3.04400E-04,3360.000
3.04800E-04,3340.000
3.05200E-04,3360.000
3.05600E-04,3380.000
3.06000E-04,3380.000
3.06400E-04,3360.000
3.06800E-04,3360.000
3.07200E-04,3340.000
3.07600E-04,3360.000
3.08000E-04,3340.000
3.08400E-04,3360.000
3.08800E-04,3360.000
3.09200E-04,3360.000
3.09600E-04,3340.000
3.10000E-04,3360.000
3.10400E-04,3360.000
3.10800E-04,3380.000
3.11200E-04,3380.000
3.11600E-04,3380.000
3.12000E-04,3380.000
3.12400E-04,3380.000
3.12800E-04,3400.000
3.13200E-04,3400.000
3.13600E-04,3380.000
3.14000E-04,3380.000
3.14400E-04,3400.000
3.14800E-04,3380.000
3.15200E-04,3400.000
3.15600E-04,3400.000
3.16000E-04,3420.000
3.16400E-04,3380.000
3.16800E-04,3380.000
3.17200E-04,3400.000
3.17600E-04,3400.000
3.18000E-04,3380.000
3.18400E-04,3380.000
3.18800E-04,3380.000
3.19200E-04,3380.000
3.19600E-04,3380.000
3.20000E-04,3400.000
3.20400E-04,3380.000
3.20800E-04,3380.000
3.21200E-04,3400.000
3.21600E-04,3360.000
3.22000E-04,3360.000
3.22400E-04,3380.000
3.22800E-04,3380.000
3.23200E-04,3360.000
3.23600E-04,3360.000
3.24000E-04,3340.000
3.24400E-04,3360.000
3.24800E-04,3360.000
3.25200E-04,3380.000
3.25600E-04,3360.000
3.26000E-04,3360.000
3.26400E-04,3340.000
3.26800E-04,3360.000
3.27200E-04,3380.000
3.27600E-04,3340.000
3.28000E-04,3400.000
3.28400E-04,3380.000
3.28800E-04,3340.000
3.29200E-04,3340.000
3.29600E-04,3360.000
3.30000E-04,3340.000
3.30400E-04,3340.000
3.30800E-04,3380.000
3.31200E-04,3360.000
3.31600E-04,3360.000
3.32000E-04,3360.000
3.32400E-04,3380.000
3.32800E-04,3380.000
3.33200E-04,3340.000
3.33600E-04,3340.000
3.34000E-04,3360.000
3.34400E-04,3360.000
3.34800E-04,3340.000
3.35200E-04,3360.000
3.35600E-04,3360.000
3.36000E-04,3340.000
3.36400E-04,3360.000
3.36800E-04,3360.000
3.37200E-04,3340.000
3.37600E-04,3340.000
3.38000E-04,3360.000
3.38400E-04,3360.000
3.38800E-04,3380.000
3.39200E-04,3380.000
3.39600E-04,3380.000
3.40000E-04,3360.000
3.40400E-04,3360.000
3.40800E-04,3400.000
3.41200E-04,3380.000
3.41600E-04,3360.000
3.42000E-04,3340.000
3.42400E-04,3360.000
3.42800E-04,3360.000
3.43200E-04,3360.000
3.43600E-04,3400.000
3.44000E-04,3380.000
3.44400E-04,3340.000
3.44800E-04,3360.000
3.45200E-04,3360.000
3.45600E-04,3380.000
3.46000E-04,3380.000
3.46400E-04,3380.000
3.46800E-04,3360.000
3.47200E-04,3340.000
3.47600E-04,3360.000
3.48000E-04,3360.000
3.48400E-04,3360.000
3.48800E-04,3360.000
3.49200E-04,3360.000
3.49600E-04,3380.000
3.50000E-04,3360.000
3.50400E-04,3340.000
3.50800E-04,3380.000
3.51200E-04,3340.000
3.51600E-04,3380.000
3.52000E-04,3380.000
3.52400E-04,3360.000
3.52800E-04,3360.000
3.53200E-04,3380.000
3.53600E-04,3380.000
3.54000E-04,3380.000
3.54400E-04,3360.000
3.54800E-04,3400.000
3.55200E-04,3360.000
3.55600E-04,3360.000
3.56000E-04,3340.000
3.56400E-04,3340.000
3.56800E-04,3360.000
3.57200E-04,3380.000
3.57600E-04,3360.000
3.58000E-04,3360.000
3.58400E-04,3380.000
3.58800E-04,3360.000
3.59200E-04,3340.000
3.59600E-04,3380.000
3.60000E-04,3380.000
3.60400E-04,3380.000
3.60800E-04,3360.000
3.61200E-04,3400.000
3.61600E-04,3360.000
3.62000E-04,3340.000
3.62400E-04,3380.000
3.62800E-04,3380.000
3.63200E-04,3380.000
3.63600E-04,3360.000
3.64000E-04,3360.000
3.64400E-04,3360.000
3.64800E-04,3360.000
3.65200E-04,3380.000
3.65600E-04,3360.000
3.66000E-04,3360.000
3.66400E-04,3400.000
3.66800E-04,3380.000
3.67200E-04,3380.000
3.67600E-04,3400.000
3.68000E-04,3340.000
3.68400E-04,3340.000
3.68800E-04,3380.000
3.69200E-04,3360.000
3.69600E-04,3380.000
3.70000E-04,3340.000
3.70400E-04,3360.000
3.70800E-04,3380.000
3.71200E-04,3380.000
3.71600E-04,3360.000
3.72000E-04,3360.000
3.72400E-04,3380.000
3.72800E-04,3360.000
3.73200E-04,3380.000
3.73600E-04,3380.000
3.74000E-04,3360.000
3.74400E-04,3360.000
3.74800E-04,3380.000
3.75200E-04,3360.000
3.75600E-04,3360.000
3.76000E-04,3360.000
3.76400E-04,3360.000
3.76800E-04,3360.000
3.77200E-04,3360.000
3.77600E-04,3360.000
3.78000E-04,3340.000
3.78400E-04,3380.000
3.78800E-04,3380.000
3.79200E-04,3380.000
3.79600E-04,3380.000
3.80000E-04,3360.000
3.80400E-04,3380.000
3.80800E-04,3340.000
3.81200E-04,3380.000
3.81600E-04,3380.000
3.82000E-04,3360.000
3.82400E-04,3400.000
3.82800E-04,3360.000
3.83200E-04,3360.000
3.83600E-04,3360.000
3.84000E-04,3360.000
3.84400E-04,3380.000
3.84800E-04,3380.000
3.85200E-04,3380.000
3.85600E-04,3340.000
3.86000E-04,3380.000
3.86400E-04,3360.000
3.86800E-04,3360.000
3.87200E-04,3380.000
3.87600E-04,3360.000
3.88000E-04,3400.000
3.88400E-04,3360.000
3.88800E-04,3360.000
3.89200E-04,3380.000
3.89600E-04,3360.000
3.90000E-04,3360.000
3.90400E-04,3360.000
3.90800E-04,3360.000
3.91200E-04,3380.000
3.91600E-04,3400.000
3.92000E-04,3380.000
3.92400E-04,3380.000
3.92800E-04,3340.000
3.93200E-04,3360.000
3.93600E-04,3360.000
3.94000E-04,3400.000
3.94400E-04,3360.000
3.94800E-04,3360.000
3.95200E-04,3380.000
3.95600E-04,3360.000
3.96000E-04,3360.000
3.96400E-04,3360.000
3.96800E-04,3360.000
3.97200E-04,3400.000
3.97600E-04,3360.000
3.98000E-04,3380.000
3.98400E-04,3360.000
3.98800E-04,3360.000
3.99200E-04,3380.000
3.99600E-04,3360.000
4.00000E-04,3360.000
4.00400E-04,3380.000
4.00800E-04,3360.000
4.01200E-04,3360.000
4.01600E-04,3340.000
4.02000E-04,3380.000
4.02400E-04,3380.000
4.02800E-04,3360.000
4.03200E-04,3360.000
4.03600E-04,3360.000
4.04000E-04,3380.000
4.04400E-04,3340.000
4.04800E-04,3380.000
4.05200E-04,3360.000
4.05600E-04,3360.000
4.06000E-04,3380.000
4.06400E-04,3340.000
4.06800E-04,3380.000
4.07200E-04,3380.000
4.07600E-04,3360.000
4.08000E-04,3360.000
4.08400E-04,3360.000
4.08800E-04,3360.000
4.09200E-04,3360.000
4.09600E-04,3360.000
4.10000E-04,3380.000
4.10400E-04,3360.000
4.10800E-04,3340.000
4.11200E-04,3340.000
4.11600E-04,3380.000
4.12000E-04,3360.000
4.12400E-04,3360.000
4.12800E-04,3380.000
4.13200E-04,3380.000
4.13600E-04,3360.000
4.14000E-04,3380.000
4.14400E-04,3360.000
4.14800E-04,3360.000
4.15200E-04,3340.000
4.15600E-04,3380.000
4.16000E-04,3380.000
4.16400E-04,3380.000
4.16800E-04,3340.000
4.17200E-04,3340.000
4.17600E-04,3380.000
4.18000E-04,3360.000
4.18400E-04,3360.000
4.18800E-04,3360.000
4.19200E-04,3400.000
4.19600E-04,3380.000
4.20000E-04,3360.000
4.20400E-04,3360.000
4.20800E-04,3340.000
4.21200E-04,3380.000
4.21600E-04,3360.000
4.22000E-04,3360.000
4.22400E-04,3360.000
4.22800E-04,3380.000
4.23200E-04,3380.000
4.23600E-04,3360.000
4.24000E-04,3380.000
4.24400E-04,3360.000
4.24800E-04,3360.000
4.25200E-04,60.000
4.25600E-04,-20.000
4.26000E-04,0.000
4.26400E-04,-20.000
